Stock,Mean Daily Return,Volatility (Std Dev)
AAPL,0.0010725454213135579,0.027894654013952958
META,0.0012603198603272523,0.024276987662088568
MSFT,0.0011399717098234436,0.0211032840624619
NVDA,0.0019460160328741696,0.03786427775865877
TSLA,0.0020348584568402623,0.03587138288459073
